root,freq,n_forms,n_suras,n_ayat,PROMINENCE_pctile,morph_resid(living=+/frozen=-),CONCENTRATION_q(sura),signature_sig,classification
همد,1,1,1,1,5.5,-0.00,0.663,0,ordinary
همر,1,1,1,1,5.5,-0.00,0.356,0,ordinary
همس,1,1,1,1,5.4,-0.00,0.732,0,ordinary
بسق,1,1,1,1,5.3,-0.00,0.385,0,ordinary
بسم,1,1,1,1,5.3,-0.00,0.628,0,ordinary
بصل,1,1,1,1,5.2,-0.00,1,0,ordinary
سکب,1,1,1,1,5.2,-0.00,0.38,0,ordinary
سکت,1,1,1,1,5.1,-0.00,0.913,0,ordinary
سیء,1,1,1,1,5.1,-0.00,0.844,0,ordinary
سیب,1,1,1,1,5.0,-0.00,0.846,0,ordinary
سنه,1,1,1,1,4.9,-0.00,1,0,ordinary
سهر,1,1,1,1,4.9,-0.00,0.186,0,ordinary
سهل,1,1,1,1,4.8,-0.00,0.911,0,ordinary
سهم,1,1,1,1,4.8,-0.00,0.518,0,ordinary
سوح,1,1,1,1,4.7,-0.00,0.544,0,ordinary
هیل,1,1,1,1,4.6,-0.00,0.242,0,ordinary
وءد,1,1,1,1,4.6,-0.00,0.19,0,ordinary
وءل,1,1,1,1,4.5,-0.00,0.768,0,ordinary
وبر,1,1,1,1,4.5,-0.00,0.797,0,ordinary
رفرف,1,1,1,1,4.4,-0.00,0.375,0,ordinary
سلق,1,1,1,1,4.4,-0.00,0.709,0,ordinary
سمد,1,1,1,1,4.3,-0.00,0.342,0,ordinary
سمک,1,1,1,1,4.2,-0.00,0.196,0,ordinary
سند,1,1,1,1,4.2,-0.00,0.19,0,ordinary
سنم,1,1,1,1,4.1,-0.00,0.18,0,ordinary
سلب,1,1,1,1,4.1,-0.00,0.682,0,ordinary
سلسبل,1,1,1,1,4.0,-0.00,0.272,0,ordinary
رقق,1,1,1,1,3.9,-0.00,0.324,0,ordinary
رمح,1,1,1,1,3.9,-0.00,0.865,0,ordinary
هزل,1,1,1,1,3.8,-0.00,0.103,0,ordinary
هشش,1,1,1,1,3.8,-0.00,0.708,0,ordinary
وحش,1,1,1,1,3.7,-0.00,0.174,0,ordinary
بتک,1,1,1,1,3.6,-0.00,0.972,0,ordinary
بجس,1,1,1,1,3.6,-0.00,0.914,0,ordinary
رمد,1,1,1,1,3.5,-0.00,0.574,0,ordinary
رمز,1,1,1,1,3.5,-0.00,0.949,0,ordinary
رمض,1,1,1,1,3.4,-0.00,1,0,ordinary
رهو,1,1,1,1,3.4,-0.00,0.331,0,ordinary
سطح,1,1,1,1,3.3,-0.00,0.103,0,ordinary
سطو,1,1,1,1,3.2,-0.00,0.694,0,ordinary
سغب,1,1,1,1,3.2,-0.00,0.145,0,ordinary
سفع,1,1,1,1,3.1,-0.00,0.121,0,ordinary
روع,1,1,1,1,3.1,-0.00,0.809,0,ordinary
روم,1,1,1,1,3.0,-0.00,0.533,0,ordinary
رکد,1,1,1,1,2.9,-0.00,0.5,0,ordinary
رکز,1,1,1,1,2.9,-0.00,0.596,0,ordinary
بحث,1,1,1,1,2.8,-0.00,0.856,0,ordinary
وفض,1,1,1,1,2.8,-0.00,0.209,0,ordinary
وقب,1,1,1,1,2.7,-0.00,0.04,1,SIGNATURE(local)
وقذ,1,1,1,1,2.6,-0.00,0.856,0,ordinary
ولت,1,1,1,1,2.6,-0.00,0.343,0,ordinary
وسن,1,1,1,1,2.5,-0.00,1,0,ordinary
وشی,1,1,1,1,2.5,-0.00,1,0,ordinary
وصد,1,1,1,1,2.4,-0.00,0.75,0,ordinary
وضن,1,1,1,1,2.4,-0.00,0.38,0,ordinary
وطن,1,1,1,1,2.3,-0.00,0.818,0,ordinary
ءود,1,1,1,1,2.2,-0.00,1,0,ordinary
ءیم,1,1,1,1,2.2,-0.00,0.707,0,ordinary
بءر,1,1,1,1,2.1,-0.00,0.652,0,ordinary
ببل,1,1,1,1,2.1,-0.00,1,0,ordinary
بتر,1,1,1,1,2.0,-0.00,0.0243,1,SIGNATURE(local)
وتن,1,1,1,1,1.9,-0.00,0.268,0,ordinary
وجب,1,1,1,1,1.9,-0.00,0.663,0,ordinary
زفف,1,1,1,1,1.8,-0.00,0.53,0,ordinary
ءبب,1,1,1,1,1.8,-0.00,0.18,0,ordinary
ءدد,1,1,1,1,1.7,-0.00,0.577,0,ordinary
یقظ,1,1,1,1,1.6,-0.00,0.763,0,ordinary
ءرم,1,1,1,1,1.6,-0.00,0.18,0,ordinary
یقت,1,1,1,1,1.5,-0.00,0.388,0,ordinary
ءسن,1,1,1,1,1.5,-0.00,0.394,0,ordinary
کلح,1,1,1,1,1.4,-0.00,0.577,0,ordinary
کبد,1,1,1,1,1.4,-0.00,0.141,0,ordinary
کبکب,1,1,1,1,1.3,-0.00,0.684,0,ordinary
کثب,1,1,1,1,1.2,-0.00,0.192,0,ordinary
کدر,1,1,1,1,1.2,-0.00,0.188,0,ordinary
کدی,1,1,1,1,1.1,-0.00,0.339,0,ordinary
ونی,1,1,1,1,1.1,-0.00,0.692,0,ordinary
وهج,1,1,1,1,1.0,-0.00,0.207,0,ordinary
وهی,1,1,1,1,0.9,-0.00,0.257,0,ordinary
عفرت,1,1,1,1,0.9,-0.00,0.617,0,ordinary
خطط,1,1,1,1,0.8,-0.00,0.555,0,ordinary
خلع,1,1,1,1,0.8,-0.00,0.7,0,ordinary
کوی,1,1,1,1,0.7,-0.00,0.831,0,ordinary
کند,1,1,1,1,0.6,-0.00,0.0531,0,ordinary
کنس,1,1,1,1,0.6,-0.00,0.157,0,ordinary
کسد,1,1,1,1,0.5,-0.00,0.831,0,ordinary
کشط,1,1,1,1,0.5,-0.00,0.141,0,ordinary
کفء,1,1,1,1,0.4,-0.00,0.0243,1,SIGNATURE(local)
کفت,1,1,1,1,0.4,-0.00,0.206,0,ordinary
کلء,1,1,1,1,0.3,-0.00,0.605,0,ordinary
ءلت,1,1,1,1,0.2,-0.00,0.319,0,ordinary
زحف,1,1,1,1,0.2,-0.00,0.663,0,ordinary
زرب,1,1,1,1,0.1,-0.00,0.153,0,ordinary
زرق,1,1,1,1,0.1,-0.00,0.691,0,ordinary
زری,1,1,1,1,0.0,-0.00,0.811,0,ordinary
