root,freq,n_forms,n_suras,n_ayat,PROMINENCE_pctile,morph_resid(living=+/frozen=-),CONCENTRATION_q(sura),signature_sig,classification
ءثث,2,1,2,2,24.0,-0.11,0.733,0,ordinary
ینع,1,1,1,1,23.9,-0.00,0.884,0,ordinary
ءثل,1,1,1,1,23.9,-0.00,0.52,0,ordinary
ءبق,1,1,1,1,23.8,-0.00,0.556,0,ordinary
زهد,1,1,1,1,23.8,-0.00,0.786,0,ordinary
زنم,1,1,1,1,23.7,-0.00,0.277,0,ordinary
زنجبل,1,1,1,1,23.6,-0.00,0.27,0,ordinary
زمهر,1,1,1,1,23.6,-0.00,0.255,0,ordinary
زمل,1,1,1,1,23.5,-0.00,0.225,0,ordinary
وکد,1,1,1,1,23.5,-0.00,0.786,0,ordinary
وکز,1,1,1,1,23.4,-0.00,0.734,0,ordinary
ءمت,1,1,1,1,23.3,-0.00,0.705,0,ordinary
ریش,1,1,1,1,23.3,-0.00,0.912,0,ordinary
سحل,1,1,1,1,23.2,-0.00,0.7,0,ordinary
سدی,1,1,1,1,23.2,-0.00,0.188,0,ordinary
سرد,1,1,1,1,23.1,-0.00,0.52,0,ordinary
سردق,1,1,1,1,23.0,-0.00,0.748,0,ordinary
سجو,1,1,1,1,23.0,-0.00,0.0888,0,ordinary
زهر,1,1,1,1,22.9,-0.00,0.729,0,ordinary
ریع,1,1,1,1,22.9,-0.00,0.675,0,ordinary
رین,1,1,1,1,22.8,-0.00,0.197,0,ordinary
زبن,1,1,1,1,22.8,-0.00,0.115,0,ordinary
ءنم,1,1,1,1,22.7,-0.00,0.375,0,ordinary
وفد,1,1,1,1,22.6,-0.00,0.632,0,ordinary
وفر,1,1,1,1,22.6,-0.00,0.745,0,ordinary
غدق,1,1,1,1,22.5,-0.00,0.263,0,ordinary
خشب,1,1,1,1,22.5,-0.00,0.211,0,ordinary
خضد,1,1,1,1,22.4,-0.00,0.337,0,ordinary
عزو,1,1,1,1,22.3,-0.00,0.226,0,ordinary
عسعس,1,1,1,1,22.3,-0.00,0.151,0,ordinary
عسل,1,1,1,1,22.2,-0.00,0.385,0,ordinary
عدس,1,1,1,1,22.2,-0.00,1,0,ordinary
عرم,1,1,1,1,22.1,-0.00,0.52,0,ordinary
عبء,1,1,1,1,22.0,-0.00,0.564,0,ordinary
عبقر,1,1,1,1,22.0,-0.00,0.363,0,ordinary
خمط,1,1,1,1,21.9,-0.00,0.52,0,ordinary
عنی,1,1,1,1,21.9,-0.00,0.712,0,ordinary
عول,1,1,1,1,21.8,-0.00,0.972,0,ordinary
عمق,1,1,1,1,21.8,-0.00,0.663,0,ordinary
عضو,1,1,1,1,21.7,-0.00,0.447,0,ordinary
عطف,1,1,1,1,21.6,-0.00,0.672,0,ordinary
حیز,1,1,1,1,21.6,-0.00,0.654,0,ordinary
حیف,1,1,1,1,21.5,-0.00,0.697,0,ordinary
خبء,1,1,1,1,21.5,-0.00,0.617,0,ordinary
خبر2,1,1,1,1,21.4,-0.00,0.797,0,ordinary
خبز,1,1,1,1,21.3,-0.00,0.786,0,ordinary
غزل,1,1,1,1,21.3,-0.00,0.799,0,ordinary
غزو,1,1,1,1,21.2,-0.00,0.939,0,ordinary
غصب,1,1,1,1,21.2,-0.00,0.748,0,ordinary
غصص,1,1,1,1,21.1,-0.00,0.207,0,ordinary
غطش,1,1,1,1,21.0,-0.00,0.192,0,ordinary
خبط,1,1,1,1,21.0,-0.00,1,0,ordinary
خبو,1,1,1,1,20.9,-0.00,0.741,0,ordinary
ختر,1,1,1,1,20.9,-0.00,0.418,0,ordinary
خرطم,1,1,1,1,20.8,-0.00,0.253,0,ordinary
عیب,1,1,1,1,20.8,-0.00,0.748,0,ordinary
غبن,1,1,1,1,20.7,-0.00,0.228,0,ordinary
حوب,1,1,1,1,20.6,-0.00,0.972,0,ordinary
غلق,1,1,1,1,20.6,-0.00,0.769,0,ordinary
غمز,1,1,1,1,20.5,-0.00,0.192,0,ordinary
غمض,1,1,1,1,20.5,-0.00,1,0,ordinary
حید,1,1,1,1,20.4,-0.00,0.368,0,ordinary
حیر,1,1,1,1,20.3,-0.00,0.856,0,ordinary
خنق,1,1,1,1,20.3,-0.00,0.854,0,ordinary
ظعن,1,1,1,1,20.2,-0.00,0.785,0,ordinary
طفف,1,1,1,1,20.2,-0.00,0.192,0,ordinary
طلح,1,1,1,1,20.1,-0.00,0.34,0,ordinary
طلل,1,1,1,1,20.0,-0.00,1,0,ordinary
طمم,1,1,1,1,20.0,-0.00,0.207,0,ordinary
طود,1,1,1,1,19.9,-0.00,0.672,0,ordinary
