salience_rank,root,freq,n_forms,n_suras,n_ayat,morphology_pctile,sura_concentration_q,signature,typology
1065,مرح,3,2,3,3,37.3,0.653,0,ordinary
1066,بذر,3,3,1,2,61.0,0.412,0,ordinary
1067,مزج,3,1,2,3,12.0,0.174,0,ordinary
1068,رقم,3,2,2,3,52.3,0.152,0,ordinary
1069,ذقن,3,1,2,3,28.6,0.576,0,ordinary
1070,ذرو,3,3,2,2,59.4,0.232,0,ordinary
1071,ذءب,3,1,1,3,27.3,0.47,0,ordinary
1072,حفو,3,3,3,3,56.4,0.644,0,ordinary
1073,نقب,3,3,3,3,59.6,0.644,0,ordinary
1074,قرح,3,1,1,2,17.8,0.735,0,ordinary
1075,قرد,3,1,3,3,17.8,1,0,ordinary
1076,حوج,3,1,3,3,20.2,0.601,0,ordinary
1077,نفذ,3,2,1,1,38.4,0.162,0,ordinary
1078,ءصر,3,2,3,3,51.7,1,0,ordinary
1079,ءسو,3,1,2,3,1.4,0.227,0,ordinary
1080,ءفف,3,1,3,3,34.2,0.662,0,ordinary
1081,کور,3,2,2,2,42.9,0.23,0,ordinary
1082,ءفق,3,2,3,3,51.7,0.184,0,ordinary
1083,ءرب,2,2,2,2,52.5,0.74,0,ordinary
1084,ءزز,2,2,1,1,52.4,0.414,0,ordinary
1085,یسع,2,1,2,2,35.2,0.7,0,ordinary
1086,غرو,2,2,2,2,46.1,0.847,0,ordinary
1087,عوق,2,2,2,2,44.3,0.364,0,ordinary
1088,عهن,2,1,2,2,20.7,0.081,0,ordinary
1089,عنکب,2,1,1,1,20.8,0.408,0,ordinary
1090,غوص,2,2,2,2,42.4,0.602,0,ordinary
1091,غلی,2,2,1,2,42.2,0.184,0,ordinary
1092,غلو,2,1,2,2,20.6,0.982,0,ordinary
1093,غلف,2,1,2,2,18.9,1,0,ordinary
1094,بدن,2,1,2,2,4.2,0.759,0,ordinary
1095,بدر,2,2,2,2,49.7,0.998,0,ordinary
1096,بخع,2,1,2,2,4.2,0.751,0,ordinary
1097,بتل,2,2,1,1,50.2,0.15,0,ordinary
1098,ءوه,2,1,2,2,3.4,0.908,0,ordinary
1099,بسس,2,2,1,1,47.6,0.219,0,ordinary
1100,بسر,2,2,2,2,47.7,0.219,0,ordinary
1101,بزغ,2,2,1,2,47.9,0.787,0,ordinary
1102,برم,2,2,1,1,48.0,0.344,0,ordinary
1103,برص,2,1,2,2,5.3,0.969,0,ordinary
1104,برأ,2,1,1,2,4.1,0.081,0,ordinary
1105,کرس,2,1,2,2,2.6,0.739,0,ordinary
1106,کدح,2,2,1,1,49.0,0.081,0,ordinary
1107,عطل,2,2,2,2,45.1,0.204,0,ordinary
1108,عضل,2,1,2,2,21.9,1,0,ordinary
1109,عضض,2,2,2,2,45.1,0.789,0,ordinary
1110,عضد,2,2,2,2,45.0,0.789,0,ordinary
1111,عزب,2,1,2,2,21.7,0.671,0,ordinary
1112,عرر,2,2,2,2,37.2,0.588,0,ordinary
1113,غیض,2,2,2,2,42.1,0.698,0,ordinary
1114,بعر,2,1,1,2,5.6,0.598,0,ordinary
1115,بعثر,2,1,2,2,5.7,0.081,0,ordinary
1116,بطر,2,2,2,2,51.0,0.734,0,ordinary
1117,بسل,2,2,1,1,51.1,0.767,0,ordinary
1118,کبب,2,2,2,2,48.6,0.392,0,ordinary
1119,غوط,2,1,2,2,20.5,0.982,0,ordinary
1120,عجف,2,1,1,2,22.8,0.596,0,ordinary
1121,عثر,2,2,2,2,38.0,0.895,0,ordinary
1122,عتل,2,2,2,2,37.9,0.305,0,ordinary
1123,عتق,2,1,1,2,22.9,0.508,0,ordinary
1124,عبث,2,2,2,2,35.9,0.69,0,ordinary
1125,ظفر,2,2,2,2,35.4,0.644,0,ordinary
1126,طمث,2,1,1,2,24.3,0.222,0,ordinary
1127,وصب,2,2,2,2,50.4,0.689,0,ordinary
1128,تبت,2,1,2,2,9.0,0.902,0,ordinary
1129,بنن,2,1,2,2,8.0,0.245,0,ordinary
1130,وسق,2,2,1,2,49.8,0.081,0,ordinary
1131,ودق,2,1,2,2,4.5,0.634,0,ordinary
1132,تور,2,1,2,2,9.6,0.787,0,ordinary
1133,تنر,2,1,2,2,9.7,0.747,0,ordinary
1134,وطر,2,1,1,1,4.6,0.508,0,ordinary
1135,طلت,2,1,1,2,22.6,0.969,0,ordinary
1136,فردس,2,1,2,2,19.2,0.702,0,ordinary
1137,طعن,2,2,2,2,36.6,0.969,0,ordinary
1138,طرو,2,1,2,2,23.9,0.656,0,ordinary
1139,وجف,2,2,2,2,49.4,0.227,0,ordinary
1140,جبب,2,1,1,2,11.6,0.591,0,ordinary
1141,ثقب,2,1,2,2,10.8,0.132,0,ordinary
1142,ثعب,2,1,2,2,10.8,0.859,0,ordinary
1143,ثرب,2,2,2,2,35.9,0.798,0,ordinary
1144,ثخن,2,2,2,2,36.4,0.522,0,ordinary
1145,وسم,2,2,2,2,49.9,0.355,0,ordinary
1146,وسل,2,1,2,2,4.5,0.895,0,ordinary
1147,جلل,2,1,1,2,13.5,0.219,0,ordinary
1148,جلب,2,2,2,2,37.1,0.762,0,ordinary
1149,جسم,2,2,2,2,37.0,0.299,0,ordinary
1150,جزع,2,2,2,2,36.9,0.312,0,ordinary
1151,جرز,2,2,2,2,37.5,0.468,0,ordinary
1152,جرد,2,1,2,2,12.5,0.497,0,ordinary
1153,جذذ,2,2,2,2,37.4,0.757,0,ordinary
1154,ضمم,2,1,2,2,23.5,0.743,0,ordinary
1155,ضغن,2,1,1,2,23.7,0.223,0,ordinary
1156,هضم,2,2,2,2,47.4,0.726,0,ordinary
1157,هشم,2,2,2,2,47.5,0.49,0,ordinary
1158,وبق,2,2,2,2,50.4,0.671,0,ordinary
1159,هیه,2,1,1,1,5.6,0.388,0,ordinary
1160,هیمن,2,2,2,2,50.5,0.55,0,ordinary
1161,هیم,2,2,2,2,50.6,0.486,0,ordinary
1162,هیج,2,1,2,2,3.8,0.569,0,ordinary
1163,هور,2,2,1,1,50.7,0.706,0,ordinary
1164,هبو,2,1,2,2,4.7,0.427,0,ordinary
1165,حبس,2,2,2,2,45.9,0.923,0,ordinary
1166,جنی,2,2,2,2,44.4,0.471,0,ordinary
1167,جنف,2,2,2,2,45.5,0.997,0,ordinary
1168,هلم,2,1,2,2,5.1,0.861,0,ordinary
1169,صهر,2,2,2,2,40.7,0.67,0,ordinary
1170,صنو,2,1,1,1,25.5,0.331,0,ordinary
1171,فکک,2,2,2,2,43.2,0.1,0,ordinary
1172,حجز,2,2,2,2,42.0,0.364,0,ordinary
1173,هرع,2,1,2,2,6.1,0.704,0,ordinary
1174,حفف,2,2,2,2,43.9,0.751,0,ordinary
1175,حفر,2,2,2,2,43.7,0.28,0,ordinary
1176,حظر,2,2,2,2,43.6,0.496,0,ordinary
1177,حطط,2,1,2,2,18.1,1,0,ordinary
1178,حطب,2,2,2,2,43.6,0.0882,0,ordinary
1179,نکص,2,2,2,2,39.7,0.663,0,ordinary
1180,نکب,2,2,2,2,39.7,0.396,0,ordinary
1181,حوی,2,2,2,2,46.0,0.19,0,ordinary
1182,حوش,2,1,1,2,20.2,0.594,0,ordinary
1183,حوذ,2,2,2,2,42.6,0.567,0,ordinary
1184,حنن,2,2,2,2,42.5,0.77,0,ordinary
1185,حنجر,2,1,2,2,19.3,0.735,0,ordinary
1186,حنث,2,2,2,2,41.4,0.42,0,ordinary
1187,حلق,2,2,2,2,44.1,0.671,0,ordinary
1188,حقب,2,2,2,2,43.9,0.295,0,ordinary
1189,صفد,2,1,2,2,27.2,0.549,0,ordinary
1190,صغو,2,2,2,2,39.1,0.402,0,ordinary
1191,صدی,2,2,2,2,38.8,0.219,0,ordinary
1192,صبع,2,1,2,2,28.2,0.38,0,ordinary
1193,شید,2,2,2,2,39.2,0.871,0,ordinary
1194,شکل,2,2,2,2,38.3,0.643,0,ordinary
1195,شوی,2,2,2,2,39.6,0.371,0,ordinary
1196,قحم,2,2,2,2,43.3,0.184,0,ordinary
1197,نصت,2,1,2,2,7.7,0.649,0,ordinary
1198,نفش,2,2,2,2,38.5,0.119,0,ordinary
1199,شهق,2,2,2,2,39.5,0.424,0,ordinary
1200,شفو,2,1,2,2,28.9,0.969,0,ordinary
1201,شغل,2,1,2,2,29.0,0.519,0,ordinary
1202,شطء,2,2,2,2,51.4,0.591,0,ordinary
1203,نشط,2,2,1,1,40.5,0.146,0,ordinary
1204,نسء,2,2,2,2,41.2,0.726,0,ordinary
1205,نزف,2,1,2,2,9.2,0.42,0,ordinary
1206,خردل,2,1,2,2,22.0,0.532,0,ordinary
1207,خرب,2,2,2,2,44.9,0.569,0,ordinary
1208,خدن,2,1,2,2,22.1,0.98,0,ordinary
1209,خدد,2,2,2,2,44.8,0.191,0,ordinary
1210,خبل,2,1,2,2,20.9,0.973,0,ordinary
1211,نعس,2,2,2,2,41.1,0.867,0,ordinary
1212,نحل,2,2,2,2,40.0,0.958,0,ordinary
1213,خور,2,1,2,2,24.9,0.866,0,ordinary
1214,خنس,2,2,2,2,37.6,0.042,1,signature
1215,خمص,2,1,2,2,25.0,0.952,0,ordinary
1216,خمد,2,2,2,2,36.4,0.577,0,ordinary
1217,خضع,2,2,2,2,37.7,0.753,0,ordinary
1218,خصف,2,1,2,2,23.1,0.883,0,ordinary
1219,قرطس,2,2,1,2,43.8,0.781,0,ordinary
1220,قدو,2,2,2,2,43.0,0.726,0,ordinary
1221,شخص,2,2,2,2,52.7,0.615,0,ordinary
1222,دمع,2,1,2,2,26.6,0.958,0,ordinary
1223,دخن,2,1,2,2,25.9,0.386,0,ordinary
1224,دول,2,2,2,2,39.6,0.567,0,ordinary
1225,دهر,2,1,2,2,27.7,0.283,0,ordinary
1226,نبع,2,2,2,2,36.2,0.742,0,ordinary
1227,رجج,2,2,1,1,50.0,0.197,0,ordinary
1228,رجأ,2,1,2,2,30.3,0.859,0,ordinary
1229,ذبب,2,2,1,1,52.1,0.496,0,ordinary
1230,قسطس,2,1,2,2,17.5,0.787,0,ordinary
1231,سین,2,2,2,2,48.7,0.107,0,ordinary
1232,سیطر,2,2,2,2,48.9,0.146,0,ordinary
1233,قلی,2,2,2,2,41.9,0.132,0,ordinary
1234,قطف,2,1,2,2,15.2,0.245,0,ordinary
1235,رفد,2,2,1,1,47.3,0.592,0,ordinary
1236,رفث,2,1,1,2,32.3,0.971,0,ordinary
1237,رفت,2,1,1,2,32.4,0.538,0,ordinary
1238,رعد,2,1,2,2,32.6,0.77,0,ordinary
1239,رطب,2,2,2,2,47.2,0.803,0,ordinary
1240,رسس,2,1,2,2,31.5,0.462,0,ordinary
1241,رسخ,2,1,2,2,31.6,0.993,0,ordinary
1242,ملق,2,1,2,2,12.1,0.903,0,ordinary
1243,ملح,2,1,2,2,12.2,0.55,0,ordinary
1244,رمم,2,1,2,2,33.0,0.379,0,ordinary
1245,رقد,2,2,2,2,47.7,0.599,0,ordinary
1246,سهو,2,1,2,2,29.2,0.0526,0,ordinary
1247,قوع,2,2,2,2,45.7,0.721,0,ordinary
1248,قوت,2,2,2,2,43.5,0.722,0,ordinary
1249,قنع,2,2,2,2,42.7,0.644,0,ordinary
1250,لهث,2,1,1,1,14.8,0.82,0,ordinary
1251,رکس,2,1,1,2,0.1,0.871,0,ordinary
1252,روض,2,2,2,2,51.3,0.546,0,ordinary
1253,مخر,2,1,2,2,12.8,0.656,0,ordinary
1254,محن,2,1,2,2,12.8,0.28,0,ordinary
1255,محق,2,1,2,2,12.9,1,0,ordinary
1256,محص,2,1,1,2,13.0,0.829,0,ordinary
