salience_rank,root,freq,n_forms,n_suras,n_ayat,morphology_pctile,sura_concentration_q,signature,typology
1405,قسور,1,1,1,1,16.4,0.213,0,ordinary
1406,ذبذب,1,1,1,1,28.7,0.973,0,ordinary
1407,ذخر,1,1,1,1,28.7,0.926,0,ordinary
1408,ذعن,1,1,1,1,28.6,0.684,0,ordinary
1409,ذهل,1,1,1,1,28.5,0.671,0,ordinary
1410,ذود,1,1,1,1,29.6,0.737,0,ordinary
1411,ذکو,1,1,1,1,29.6,0.855,0,ordinary
1412,ذیع,1,1,1,1,29.5,0.969,0,ordinary
1413,ربح,1,1,1,1,29.5,1,0,ordinary
1414,رتع,1,1,1,1,29.4,0.782,0,ordinary
1415,رتق,1,1,1,1,30.4,0.602,0,ordinary
1416,رحق,1,1,1,1,30.3,0.174,0,ordinary
1417,مطو,1,1,1,1,10.5,0.202,0,ordinary
1418,معز,1,1,1,1,10.5,0.883,0,ordinary
1419,نبط,1,1,1,1,10.2,0.972,0,ordinary
1420,نتق,1,1,1,1,10.1,0.921,0,ordinary
1421,نجد,1,1,1,1,10.1,0.123,0,ordinary
1422,نجس,1,1,1,1,10.0,0.829,0,ordinary
1423,دمغ,1,1,1,1,26.5,0.62,0,ordinary
1424,دنر,1,1,1,1,27.7,0.929,0,ordinary
1425,دهق,1,1,1,1,27.6,0.213,0,ordinary
1426,دهم,1,1,1,1,27.6,0.396,0,ordinary
1427,دهی,1,1,1,1,27.5,0.359,0,ordinary
1428,منو,1,1,1,1,11.2,0.315,0,ordinary
1429,مکو,1,1,1,1,11.0,0.656,0,ordinary
1430,مکک,1,1,1,1,10.9,0.399,0,ordinary
1431,ذءم,1,1,1,1,28.8,0.913,0,ordinary
1432,ندی,1,1,1,1,8.5,0.602,0,ordinary
1433,خیم,1,1,1,1,24.8,0.379,0,ordinary
1434,دثر,1,1,1,1,26.0,0.232,0,ordinary
1435,دحو,1,1,1,1,25.9,0.213,0,ordinary
1436,درهم,1,1,1,1,25.8,0.783,0,ordinary
1437,دسر,1,1,1,1,27.0,0.351,0,ordinary
1438,دسس,1,1,1,1,26.9,0.799,0,ordinary
1439,دسو,1,1,1,1,26.9,0.0958,0,ordinary
1440,دفء,1,1,1,1,26.8,0.795,0,ordinary
1441,دفق,1,1,1,1,26.7,0.1,0,ordinary
1442,دلک,1,1,1,1,26.7,0.727,0,ordinary
1443,دمدم,1,1,1,1,26.6,0.0882,0,ordinary
1444,میر,1,1,1,1,10.3,0.77,0,ordinary
1445,نبز,1,1,1,1,10.2,0.342,0,ordinary
1446,قشعر,1,1,1,1,16.3,0.612,0,ordinary
1447,قصف,1,1,1,1,16.3,0.728,0,ordinary
1448,قصم,1,1,1,1,16.2,0.608,0,ordinary
1449,قصی,1,1,1,1,16.2,0.624,0,ordinary
1450,قضب,1,1,1,1,16.1,0.132,0,ordinary
1451,قضض,1,1,1,1,16.0,0.762,0,ordinary
1452,شتو,1,1,1,1,29.7,0.027,1,signature
1453,شحم,1,1,1,1,28.5,0.899,0,ordinary
1454,شرد,1,1,1,1,28.3,0.663,0,ordinary
1455,شرذم,1,1,1,1,28.3,0.685,0,ordinary
1456,شرط,1,1,1,1,28.2,0.38,0,ordinary
1457,قرش,1,1,1,1,17.7,0.027,1,signature
1458,قسس,1,1,1,1,17.6,0.836,0,ordinary
1459,خشب,1,1,1,1,23.2,0.204,0,ordinary
1460,خضد,1,1,1,1,23.0,0.365,0,ordinary
1461,خطط,1,1,1,1,23.0,0.598,0,ordinary
1462,خلع,1,1,1,1,24.0,0.722,0,ordinary
1463,خمط,1,1,1,1,25.0,0.547,0,ordinary
1464,خنق,1,1,1,1,24.9,0.852,0,ordinary
1465,نحب,1,1,1,1,8.7,0.712,0,ordinary
1466,نحر,1,1,1,1,8.6,0.027,1,signature
1467,نخر,1,1,1,1,8.6,0.19,0,ordinary
1468,نضج,1,1,1,1,7.6,0.969,0,ordinary
1469,نضخ,1,1,1,1,7.5,0.385,0,ordinary
1470,نطح,1,1,1,1,9.3,0.859,0,ordinary
1471,خبو,1,1,1,1,22.2,0.729,0,ordinary
1472,ختر,1,1,1,1,22.2,0.412,0,ordinary
1473,خرطم,1,1,1,1,22.0,0.285,0,ordinary
1474,نسر,1,1,1,1,9.1,0.222,0,ordinary
1475,شعل,1,1,1,1,29.1,0.593,0,ordinary
1476,شغف,1,1,1,1,29.0,0.788,0,ordinary
1477,شفه,1,1,1,1,28.9,0.119,0,ordinary
1478,شمءز,1,1,1,1,28.1,0.609,0,ordinary
1479,شمت,1,1,1,1,28.0,0.915,0,ordinary
1480,شمخ,1,1,1,1,28.0,0.206,0,ordinary
1481,شوب,1,1,1,1,27.9,0.536,0,ordinary
1482,شوظ,1,1,1,1,27.9,0.379,0,ordinary
1483,شوک,1,1,1,1,27.8,0.654,0,ordinary
1484,فیل,1,1,1,1,17.2,0.0648,0,ordinary
1485,قبح,1,1,1,1,17.2,0.715,0,ordinary
1486,قثء,1,1,1,1,17.1,1,0,ordinary
1487,نعق,1,1,1,1,9.2,1,0,ordinary
1488,نعل,1,1,1,1,8.3,0.685,0,ordinary
1489,نغض,1,1,1,1,8.2,0.743,0,ordinary
1490,نفث,1,1,1,1,8.2,0.0733,0,ordinary
1491,نفح,1,1,1,1,8.1,0.602,0,ordinary
1492,نفی,1,1,1,1,8.1,0.847,0,ordinary
1493,حید,1,1,1,1,20.1,0.365,0,ordinary
1494,حیر,1,1,1,1,21.3,0.883,0,ordinary
1495,حیز,1,1,1,1,21.3,0.653,0,ordinary
1496,حیف,1,1,1,1,21.2,0.685,0,ordinary
1497,خبء,1,1,1,1,21.1,0.601,0,ordinary
1498,خبر2,1,1,1,1,21.0,0.82,0,ordinary
1499,خبز,1,1,1,1,21.0,0.78,0,ordinary
1500,خبط,1,1,1,1,20.9,1,0,ordinary
1501,قدح,1,1,1,1,17.0,0.0526,0,ordinary
1502,شکس,1,1,1,1,26.4,0.64,0,ordinary
1503,صخخ,1,1,1,1,26.5,0.162,0,ordinary
1504,صرع,1,1,1,1,25.4,0.227,0,ordinary
1505,صعر,1,1,1,1,27.2,0.399,0,ordinary
1506,صفصف,1,1,1,1,27.1,0.69,0,ordinary
1507,صفن,1,1,1,1,27.0,0.436,0,ordinary
1508,فند,1,1,1,1,18.2,0.789,0,ordinary
1509,نمم,1,1,1,1,6.6,0.277,0,ordinary
1510,نهج,1,1,1,1,8.4,0.847,0,ordinary
1511,نوء,1,1,1,1,8.3,0.73,0,ordinary
1512,حقف,1,1,1,1,19.5,0.42,0,ordinary
1513,حلقم,1,1,1,1,19.4,0.368,0,ordinary
1514,حنذ,1,1,1,1,20.4,0.82,0,ordinary
1515,حنک,1,1,1,1,20.3,0.739,0,ordinary
1516,حوب,1,1,1,1,20.3,0.968,0,ordinary
1517,نکد,1,1,1,1,7.2,0.913,0,ordinary
1518,حرک,1,1,1,1,17.5,0.183,0,ordinary
1519,حری,1,1,1,1,17.4,0.243,0,ordinary
1520,حسم,1,1,1,1,17.3,0.299,0,ordinary
1521,حصحص,1,1,1,1,17.3,0.789,0,ordinary
1522,حصل,1,1,1,1,18.2,0.0648,0,ordinary
1523,حفد,1,1,1,1,18.0,0.784,0,ordinary
1524,نقع,1,1,1,1,6.7,0.0648,0,ordinary
1525,نمرق,1,1,1,1,6.6,0.123,0,ordinary
1526,هجد,1,1,1,1,6.5,0.722,0,ordinary
1527,هجع,1,1,1,1,6.5,0.344,0,ordinary
1528,هدد,1,1,1,1,6.4,0.601,0,ordinary
1529,هدم,1,1,1,1,6.3,0.698,0,ordinary
1530,هدهد,1,1,1,1,6.3,0.618,0,ordinary
1531,هرب,1,1,1,1,6.2,0.243,0,ordinary
1532,هرت,1,1,1,1,6.2,1,0,ordinary
1533,حدب,1,1,1,1,16.6,0.602,0,ordinary
1534,حرد,1,1,1,1,16.5,0.28,0,ordinary
1535,حرس,1,1,1,1,16.5,0.258,0,ordinary
1536,نوش,1,1,1,1,7.5,0.536,0,ordinary
1537,نوص,1,1,1,1,7.4,0.458,0,ordinary
1538,نون,1,1,1,1,7.3,0.624,0,ordinary
1539,نوی,1,1,1,1,7.2,0.877,0,ordinary
1540,فنن,1,1,1,1,17.0,0.371,0,ordinary
1541,فنی,1,1,1,1,16.9,0.372,0,ordinary
1542,فهم,1,1,1,1,18.8,0.618,0,ordinary
1543,فوض,1,1,1,1,18.7,0.631,0,ordinary
1544,فوم,1,1,1,1,18.6,1,0,ordinary
1545,صلد,1,1,1,1,25.7,1,0,ordinary
1546,صمت,1,1,1,1,25.6,0.917,0,ordinary
1547,صمد,1,1,1,1,25.6,0.0526,0,ordinary
1548,صمع,1,1,1,1,25.5,0.666,0,ordinary
1549,فصم,1,1,1,1,19.5,1,0,ordinary
1550,فضح,1,1,1,1,18.6,0.438,0,ordinary
1551,فضو,1,1,1,1,18.5,0.969,0,ordinary
1552,فظظ,1,1,1,1,18.5,0.934,0,ordinary
1553,هلع,1,1,1,1,5.1,0.197,0,ordinary
1554,همد,1,1,1,1,5.0,0.675,0,ordinary
1555,همر,1,1,1,1,4.9,0.354,0,ordinary
1556,همس,1,1,1,1,4.9,0.693,0,ordinary
1557,جمم,1,1,1,1,13.3,0.183,0,ordinary
1558,جوس,1,1,1,1,14.6,0.715,0,ordinary
1559,جوف,1,1,1,1,15.5,0.715,0,ordinary
1560,جوو,1,1,1,1,15.4,0.791,0,ordinary
1561,حبک,1,1,1,1,15.3,0.357,0,ordinary
1562,حتم,1,1,1,1,15.3,0.601,0,ordinary
1563,حثث,1,1,1,1,15.2,0.92,0,ordinary
1564,جمح,1,1,1,1,13.5,0.81,0,ordinary
1565,جمد,1,1,1,1,13.4,0.634,0,ordinary
1566,هیل,1,1,1,1,3.8,0.197,0,ordinary
1567,وءد,1,1,1,1,5.5,0.15,0,ordinary
1568,وءل,1,1,1,1,5.5,0.743,0,ordinary
1569,وبر,1,1,1,1,5.4,0.798,0,ordinary
1570,هزل,1,1,1,1,6.0,0.1,0,ordinary
1571,هشش,1,1,1,1,5.2,0.712,0,ordinary
1572,فقع,1,1,1,1,18.4,1,0,ordinary
1573,فلن,1,1,1,1,18.3,0.583,0,ordinary
1574,صوع,1,1,1,1,24.7,0.789,0,ordinary
1575,صوف,1,1,1,1,24.6,0.77,0,ordinary
1576,صکک,1,1,1,1,24.6,0.338,0,ordinary
1577,صیص,1,1,1,1,24.5,0.698,0,ordinary
1578,صیف,1,1,1,1,26.3,0.0526,0,ordinary
1579,ضءن,1,1,1,1,26.2,0.883,0,ordinary
1580,ضبح,1,1,1,1,26.2,0.0882,0,ordinary
1581,ضدد,1,1,1,1,26.0,0.594,0,ordinary
1582,ضفدع,1,1,1,1,23.6,0.921,0,ordinary
1583,ضمر,1,1,1,1,23.6,0.684,0,ordinary
1584,ضنن,1,1,1,1,25.3,0.166,0,ordinary
1585,ضنک,1,1,1,1,25.3,0.727,0,ordinary
1586,جذو,1,1,1,1,12.6,0.732,0,ordinary
1587,جرر,1,1,1,1,12.5,0.911,0,ordinary
1588,جرع,1,1,1,1,12.4,0.557,0,ordinary
1589,جرف,1,1,1,1,12.3,0.82,0,ordinary
1590,جسس,1,1,1,1,12.2,0.38,0,ordinary
1591,جفء,1,1,1,1,13.8,0.552,0,ordinary
1592,جفن,1,1,1,1,13.8,0.547,0,ordinary
1593,جفو,1,1,1,1,13.7,0.363,0,ordinary
1594,جلس,1,1,1,1,13.6,0.388,0,ordinary
1595,ثری,1,1,1,1,10.9,0.7,0,ordinary
1596,جبت,1,1,1,1,11.6,0.973,0,ordinary
1597,جبن,1,1,1,1,11.5,0.545,0,ordinary
1598,جبه,1,1,1,1,11.5,0.827,0,ordinary
1599,جثث,1,1,1,1,11.4,0.569,0,ordinary
1600,وتن,1,1,1,1,4.1,0.243,0,ordinary
1601,وجب,1,1,1,1,4.0,0.685,0,ordinary
1602,وحش,1,1,1,1,3.9,0.138,0,ordinary
1603,ضهء,1,1,1,1,25.2,0.84,0,ordinary
1604,ضیر,1,1,1,1,25.2,0.685,0,ordinary
1605,ضیز,1,1,1,1,25.1,0.313,0,ordinary
1606,فرع,1,1,1,1,18.0,0.569,0,ordinary
1607,فره,1,1,1,1,17.9,0.681,0,ordinary
1608,فسر,1,1,1,1,19.6,0.566,0,ordinary
1609,فصح,1,1,1,1,19.6,0.705,0,ordinary
1610,طحو,1,1,1,1,24.0,0.127,0,ordinary
1611,طرح,1,1,1,1,23.9,0.789,0,ordinary
1612,طفف,1,1,1,1,23.8,0.184,0,ordinary
1613,فجو,1,1,1,1,19.3,0.762,0,ordinary
1614,فرث,1,1,1,1,19.2,0.789,0,ordinary
1615,وضن,1,1,1,1,2.8,0.359,0,ordinary
1616,وطن,1,1,1,1,4.6,0.81,0,ordinary
1617,تعس,1,1,1,1,8.8,0.423,0,ordinary
1618,تفث,1,1,1,1,9.9,0.655,0,ordinary
1619,تقن,1,1,1,1,9.8,0.615,0,ordinary
1620,تلل,1,1,1,1,9.8,0.549,0,ordinary
1621,تین,1,1,1,1,9.6,0.123,0,ordinary
1622,تیه,1,1,1,1,9.5,0.847,0,ordinary
1623,ثبط,1,1,1,1,9.5,0.827,0,ordinary
1624,ثبو,1,1,1,1,9.4,0.972,0,ordinary
1625,ثجج,1,1,1,1,11.2,0.198,0,ordinary
1626,وفر,1,1,1,1,3.7,0.749,0,ordinary
1627,وفض,1,1,1,1,3.6,0.219,0,ordinary
1628,وقب,1,1,1,1,3.6,0.0733,0,ordinary
1629,وقذ,1,1,1,1,3.5,0.862,0,ordinary
1630,ولت,1,1,1,1,3.5,0.349,0,ordinary
1631,بلی,1,1,1,1,6.8,0.698,0,ordinary
1632,بهل,1,1,1,1,7.9,0.943,0,ordinary
1633,بکک,1,1,1,1,7.8,0.933,0,ordinary
1634,بید,1,1,1,1,9.1,0.751,0,ordinary
1635,ترق,1,1,1,1,8.8,0.19,0,ordinary
1636,وسن,1,1,1,1,4.4,1,0,ordinary
1637,وشی,1,1,1,1,2.9,1,0,ordinary
1638,وصد,1,1,1,1,2.9,0.743,0,ordinary
1639,طلح,1,1,1,1,24.4,0.359,0,ordinary
1640,طلل,1,1,1,1,24.3,1,0,ordinary
1641,طمم,1,1,1,1,24.2,0.197,0,ordinary
1642,طود,1,1,1,1,24.2,0.702,0,ordinary
1643,ظعن,1,1,1,1,22.7,0.784,0,ordinary
1644,عبء,1,1,1,1,22.6,0.547,0,ordinary
1645,عبقر,1,1,1,1,22.9,0.372,0,ordinary
1646,غول,1,1,1,1,19.1,0.538,0,ordinary
1647,وکز,1,1,1,1,2.0,0.713,0,ordinary
1648,کبد,1,1,1,1,1.9,0.162,0,ordinary
1649,بسق,1,1,1,1,5.9,0.383,0,ordinary
1650,بسم,1,1,1,1,5.9,0.612,0,ordinary
1651,بصل,1,1,1,1,5.8,1,0,ordinary
1652,بطء,1,1,1,1,5.8,0.968,0,ordinary
1653,بغل,1,1,1,1,7.0,0.803,0,ordinary
1654,بقع,1,1,1,1,6.9,0.727,0,ordinary
1655,بقل,1,1,1,1,6.9,1,0,ordinary
1656,بلع,1,1,1,1,6.8,0.805,0,ordinary
1657,وفد,1,1,1,1,1.9,0.601,0,ordinary
1658,فتء,1,1,1,1,19.0,0.759,0,ordinary
1659,فتق,1,1,1,1,19.0,0.607,0,ordinary
1660,عدس,1,1,1,1,23.3,1,0,ordinary
1661,عرم,1,1,1,1,23.2,0.536,0,ordinary
1662,عزو,1,1,1,1,21.6,0.197,0,ordinary
1663,عسعس,1,1,1,1,23.5,0.152,0,ordinary
1664,عسل,1,1,1,1,23.4,0.372,0,ordinary
1665,عضو,1,1,1,1,21.9,0.439,0,ordinary
1666,عطف,1,1,1,1,21.8,0.693,0,ordinary
1667,کبکب,1,1,1,1,33.9,0.695,0,ordinary
1668,کثب,1,1,1,1,33.9,0.222,0,ordinary
1669,کدر,1,1,1,1,2.8,0.138,0,ordinary
1670,کدی,1,1,1,1,2.7,0.304,0,ordinary
1671,ونی,1,1,1,1,2.2,0.702,0,ordinary
1672,وهج,1,1,1,1,2.2,0.197,0,ordinary
1673,وهی,1,1,1,1,2.1,0.245,0,ordinary
1674,وکد,1,1,1,1,2.1,0.795,0,ordinary
1675,کفء,1,1,1,1,34.5,0.027,1,signature
1676,کفت,1,1,1,1,34.5,0.21,0,ordinary
1677,کلء,1,1,1,1,34.4,0.613,0,ordinary
1678,ءود,1,1,1,1,2.3,1,0,ordinary
1679,ءیم,1,1,1,1,3.4,0.693,0,ordinary
1680,بءر,1,1,1,1,3.2,0.69,0,ordinary
1681,ببل,1,1,1,1,3.2,1,0,ordinary
1682,بتر,1,1,1,1,3.1,0.027,1,signature
1683,بتک,1,1,1,1,3.1,0.97,0,ordinary
1684,بجس,1,1,1,1,4.4,0.908,0,ordinary
1685,بحث,1,1,1,1,4.3,0.858,0,ordinary
1686,عفرت,1,1,1,1,21.8,0.629,0,ordinary
1687,غلق,1,1,1,1,18.8,0.778,0,ordinary
1688,غمز,1,1,1,1,20.6,0.184,0,ordinary
1689,غمض,1,1,1,1,20.5,1,0,ordinary
1690,عمق,1,1,1,1,22.3,0.652,0,ordinary
1691,عنی,1,1,1,1,20.8,0.721,0,ordinary
1692,عول,1,1,1,1,22.5,0.972,0,ordinary
1693,عیب,1,1,1,1,22.5,0.765,0,ordinary
1694,کلح,1,1,1,1,34.3,0.588,0,ordinary
1695,ءسن,1,1,1,1,1.4,0.414,0,ordinary
1696,کوی,1,1,1,1,35.1,0.829,0,ordinary
1697,ءرم,1,1,1,1,1.6,0.146,0,ordinary
1698,یقت,1,1,1,1,35.2,0.365,0,ordinary
1699,ینع,1,1,1,1,34.8,0.878,0,ordinary
1700,ءبق,1,1,1,1,1.6,0.545,0,ordinary
1701,ءبب,1,1,1,1,1.8,0.174,0,ordinary
1702,یقظ,1,1,1,1,35.3,0.74,0,ordinary
