global_rank,root,gloss,freq,n_forms,n_suras,prominence_pctile,living(+)/frozen(-),signature_rank,dom_sura,conc_z,conc_q
790,حوت,,5,2,4,53.6,-0.09,,68,-0.0,0.556
791,نکل,,5,4,5,53.6,+0.14,,79,0.3,0.392
792,صفر,,5,3,5,53.5,+0.04,,77,0.1,0.45
793,صدف,,5,3,2,53.4,+0.04,,6,-0.2,0.663
794,فرد,,5,2,4,53.4,-0.09,,19,-0.1,0.617
795,صبب,,5,4,4,53.3,+0.14,,80,4.2,0.137
796,طرد,,5,3,3,53.3,+0.04,,11,-0.4,0.803
797,درء,,5,4,5,53.2,+0.14,,13,-0.5,0.948
798,عمم,,5,3,3,53.1,+0.04,,24,-0.1,0.628
799,قطر,,5,4,5,53.1,+0.14,,55,-0.2,0.617
800,عثو,,5,1,5,53.0,-0.26,,29,-0.6,0.974
801,نفد,,5,4,4,53.0,+0.14,,31,-0.1,0.619
802,سنبل,,5,4,2,52.9,+0.14,,12,-0.2,0.667
803,نسف,,5,4,2,52.9,+0.14,,77,1.1,0.268
804,حرص,,5,4,5,52.8,+0.14,,12,-0.7,1
805,بور,,5,4,4,52.7,+0.14,,35,0.1,0.45
806,قفو,,5,2,4,52.7,-0.09,,57,0.0,0.52
807,حسد,,5,5,4,52.6,+0.21,9,113,18.5,0.0243
808,جوع,,5,2,5,52.6,-0.09,,106,6.8,0.0857
809,جثم,,5,1,3,52.5,-0.26,,11,-0.4,0.786
810,رعب,,5,2,5,52.4,-0.09,,59,-0.4,0.745
811,کمل,,5,4,3,52.4,+0.14,,16,-0.6,0.993
812,عتب,,5,2,4,52.3,-0.09,,41,0.1,0.444
813,خطو,,5,1,3,52.3,-0.26,,24,-0.4,0.805
814,خیب,,5,2,4,52.2,-0.09,,91,1.8,0.204
815,خوی,,5,1,5,52.1,-0.26,,69,-0.2,0.625
816,عصب,,5,2,4,52.1,-0.09,,12,-0.4,0.786
817,کسو,,5,4,4,52.0,+0.14,,23,-0.6,1
818,وسوس,whisper,5,4,4,52.0,+0.14,8,114,19.6,0.0243
819,طمس,,5,3,5,51.9,+0.04,,77,0.3,0.397
820,عصر,epoch(ʿAsr),5,5,4,51.9,+0.21,31,103,8.0,0.0243
821,جوز,,5,2,5,51.8,-0.09,,46,-0.6,0.93
822,عنت,,5,2,5,51.7,-0.09,,49,-0.5,0.858
823,مرد,,5,5,5,51.7,+0.21,,37,-0.5,0.893
824,سبط,,5,2,4,51.6,-0.09,,2,-0.7,1
825,ثور,,5,3,4,51.6,+0.04,,100,2.8,0.178
