global_rank,root,gloss,freq,n_forms,n_suras,prominence_pctile,living(+)/frozen(-),signature_rank,dom_sura,conc_z,conc_q
1085,کمم,,2,1,2,36.3,-0.11,,55,0.1,0.44
1086,یسع,,2,1,2,36.2,-0.11,,38,-0.3,0.682
1087,کدح,,2,2,1,36.2,+0.06,,84,7.3,0.0888
1088,کرس,,2,1,2,36.1,-0.11,,38,-0.3,0.741
1089,کبب,,2,2,2,36.0,+0.06,,67,0.3,0.404
1090,ءمل,,2,2,2,36.0,+0.06,,15,-0.2,0.594
1091,ءمو,,2,2,2,35.9,+0.06,,24,-0.4,0.912
1092,رکس,,2,1,1,35.9,-0.11,,4,-0.4,0.868
1093,سبغ,,2,2,2,35.8,+0.06,,31,0.0,0.496
1094,زود,,2,2,1,35.7,+0.06,,2,-0.5,0.974
1095,سبء,,2,1,2,35.7,-0.11,,34,-0.2,0.587
1096,زجج,,2,1,1,35.6,-0.11,,24,0.1,0.524
1097,زحزح,,2,2,2,35.6,+0.06,,3,-0.5,1
1098,وسم,,2,2,2,35.5,+0.06,,68,0.4,0.331
1099,وصب,,2,2,2,35.4,+0.06,,37,-0.2,0.663
1100,وطر,,2,1,1,35.4,-0.11,,33,-0.0,0.525
1101,ءوه,,2,1,2,35.3,-0.11,,11,-0.3,0.893
1102,ودق,,2,1,2,35.3,-0.11,,30,-0.2,0.64
1103,وسق,,2,2,1,35.2,+0.06,,84,6.1,0.0979
1104,وسل,,2,1,2,35.2,-0.11,,17,-0.4,0.875
1105,وبق,,2,2,2,35.1,+0.06,,42,-0.2,0.663
1106,وجف,,2,2,2,35.0,+0.06,,79,1.1,0.219
1107,بتل,,2,2,1,35.0,+0.06,,73,3.0,0.141
1108,رمم,,2,1,2,34.9,-0.11,,51,0.2,0.394
1109,سرمد,,2,1,1,34.9,-0.11,,28,-0.0,0.512
1110,سعد,,2,2,1,34.8,+0.06,,11,-0.2,0.584
1111,روض,,2,2,2,34.7,+0.06,,42,-0.1,0.55
1112,بخع,,2,1,2,34.7,-0.11,,26,-0.4,0.782
1113,بدر,,2,2,2,34.6,+0.06,,3,-0.4,0.992
1114,بدن,,2,1,2,34.6,-0.11,,22,-0.3,0.79
1115,هور,,2,2,1,34.5,+0.06,,9,-0.3,0.711
1116,هیج,,2,1,2,34.5,-0.11,,57,-0.1,0.577
1117,هیم,,2,2,2,34.4,+0.06,,56,0.1,0.471
1118,هیمن,,2,2,2,34.3,+0.06,,59,-0.1,0.555
1119,هیه,,2,1,1,34.3,-0.11,,23,0.1,0.42
1120,برأ,,2,1,1,34.2,-0.11,,98,8.7,0.0531
1121,برص,,2,1,2,34.2,-0.11,,5,-0.5,0.971
1122,برم,,2,2,1,34.1,+0.06,,43,0.3,0.34
1123,رفت,,2,1,1,34.0,-0.11,,17,-0.1,0.554
1124,رفث,,2,1,1,34.0,-0.11,,2,-0.5,0.972
1125,رفد,,2,2,1,33.9,+0.06,,11,-0.2,0.596
1126,سفک,,2,2,1,33.9,+0.06,,2,-0.5,0.972
1127,سقم,,2,1,1,33.8,-0.11,,37,0.4,0.343
1128,رقد,,2,2,2,33.7,+0.06,,36,-0.2,0.615
1129,بزغ,,2,2,1,33.7,+0.06,,6,-0.3,0.785
1130,بسر,,2,2,2,33.6,+0.06,,75,1.3,0.219
1131,هشم,,2,2,2,33.6,+0.06,,54,0.0,0.472
1132,هضم,,2,2,2,33.5,+0.06,,26,-0.3,0.73
1133,هلم,,2,1,2,33.5,-0.11,,33,-0.5,0.868
1134,بسس,,2,2,1,33.4,+0.06,,56,1.7,0.209
1135,بسل,,2,2,1,33.3,+0.06,,6,-0.3,0.789
1136,سیطر,,2,2,2,33.3,+0.06,,88,2.0,0.134
1137,سین,,2,2,2,33.2,+0.06,,95,3.6,0.157
1138,سهو,,2,1,2,33.2,-0.11,29,107,8.8,0.04
1139,رطب,,2,2,2,33.1,+0.06,,19,-0.3,0.803
1140,رعد,,2,1,2,33.0,-0.11,,13,-0.3,0.775
1141,بطر,,2,2,2,33.0,+0.06,,8,-0.3,0.741
1142,بعثر,,2,1,2,32.9,-0.11,,100,6.7,0.113
1143,هبو,,2,1,2,32.9,-0.11,,56,0.1,0.438
1144,هرع,,2,1,2,32.8,-0.11,,37,-0.2,0.682
1145,بعر,,2,1,1,32.7,-0.11,,12,-0.1,0.564
1146,نکب,,2,2,2,32.7,+0.06,,67,0.3,0.372
1147,نکص,,2,2,2,32.6,+0.06,,23,-0.2,0.663
1148,بنن,,2,1,2,32.6,-0.11,,75,0.7,0.251
1149,نعس,,2,2,2,32.5,+0.06,,8,-0.3,0.852
1150,نفش,,2,2,2,32.5,+0.06,,101,5.2,0.127
1151,نشط,,2,2,1,32.4,+0.06,,79,3.5,0.137
1152,نصت,,2,1,2,32.3,-0.11,,46,-0.2,0.628
1153,تبت,,2,1,2,32.3,-0.11,,20,-0.4,0.91
1154,رجأ,,2,1,2,32.2,-0.11,,26,-0.4,0.849
1155,رجج,,2,2,1,32.2,+0.06,,56,1.3,0.211
1156,شخص,,2,2,2,32.1,+0.06,,14,-0.2,0.631
1157,رسخ,,2,1,2,32.0,-0.11,,3,-0.5,0.993
1158,رسس,,2,1,2,32.0,-0.11,,50,0.1,0.43
1159,نزف,,2,1,2,31.9,-0.11,,56,0.2,0.433
1160,نسء,,2,2,2,31.9,+0.06,,34,-0.2,0.711
1161,نحل,,2,2,2,31.8,+0.06,,16,-0.4,0.944
1162,تنر,,2,1,2,31.7,-0.11,,23,-0.3,0.728
1163,تور,,2,1,2,31.7,-0.11,,20,-0.4,0.776
1164,نبع,,2,2,2,31.6,+0.06,,39,-0.3,0.743
1165,ثخن,,2,2,2,31.6,+0.06,,47,-0.0,0.524
1166,ثرب,,2,2,2,31.5,+0.06,,33,-0.3,0.79
1167,ثعب,,2,1,2,31.5,-0.11,,26,-0.4,0.856
1168,شهق,,2,2,2,31.4,+0.06,,67,0.1,0.424
1169,شطء,,2,2,2,31.3,+0.06,,48,-0.1,0.577
1170,شغل,,2,1,2,31.3,-0.11,,48,0.0,0.499
1171,شفو,,2,1,2,31.2,-0.11,,9,-0.4,0.971
1172,ثقب,,2,1,2,31.2,-0.11,,86,2.7,0.151
1173,ملح,,2,1,2,31.1,-0.11,,35,-0.1,0.58
1174,ملق,,2,1,2,31.0,-0.11,,17,-0.4,0.911
1175,جبب,,2,1,1,31.0,-0.11,,12,-0.1,0.574
1176,محص,,2,1,1,30.9,-0.11,,3,-0.4,0.826
1177,محق,,2,1,2,30.9,-0.11,,3,-0.5,1
1178,محن,,2,1,2,30.8,-0.11,,60,0.5,0.302
1179,مخر,,2,1,2,30.7,-0.11,,35,-0.2,0.659
1180,جذذ,,2,2,2,30.7,+0.06,,21,-0.3,0.767
1181,جرد,,2,1,2,30.6,-0.11,,54,0.0,0.496
1182,جرز,,2,2,2,30.6,+0.06,,32,0.1,0.468
1183,جزع,,2,2,2,30.5,+0.06,,70,0.7,0.277
1184,لهث,,2,1,1,30.5,-0.11,,7,-0.4,0.826
1185,لقط,,2,2,2,30.4,+0.06,,28,-0.4,0.797
1186,لمح,,2,1,2,30.3,-0.11,,54,0.0,0.504
1187,لمم,,2,2,2,30.3,+0.06,,89,1.8,0.192
1188,صغو,,2,2,2,30.2,+0.06,,66,0.3,0.393
1189,صفد,,2,1,2,30.2,-0.11,,38,-0.1,0.556
1190,صبع,,2,1,2,30.1,-0.11,,71,0.3,0.378
1191,صدی,,2,2,2,30.0,+0.06,,80,0.9,0.231
1192,شوی,,2,2,2,30.0,+0.06,,70,0.5,0.309
1193,شکل,,2,2,2,29.9,+0.06,,38,-0.2,0.64
1194,شید,,2,2,2,29.9,+0.06,,22,-0.4,0.857
1195,جسم,,2,2,2,29.8,+0.06,,63,0.5,0.266
1196,جلب,,2,2,2,29.7,+0.06,,33,-0.3,0.797
1197,جلل,,2,1,1,29.7,-0.11,,55,1.3,0.215
1198,لدد,,2,2,2,29.6,+0.06,,19,-0.3,0.849
1199,لظی,,2,2,2,29.6,+0.06,,92,2.7,0.145
1200,لغب,,2,1,2,29.5,-0.11,,50,0.1,0.419
1201,دهر,,2,1,2,29.5,-0.11,,76,0.5,0.304
1202,دول,,2,2,2,29.4,+0.06,,59,-0.1,0.564
1203,صنو,,2,1,1,29.3,-0.11,,13,0.4,0.34
1204,صهر,,2,2,2,29.3,+0.06,,25,-0.2,0.674
1205,ذبب,,2,2,1,29.2,+0.06,,22,-0.0,0.474
1206,جنف,,2,2,2,29.2,+0.06,,5,-0.5,0.994
1207,جنی,,2,2,2,29.1,+0.06,,55,0.0,0.461
1208,قوع,,2,2,2,29.0,+0.06,,24,-0.3,0.748
1209,قیض,,2,2,2,29.0,+0.06,,41,-0.1,0.561
1210,قیل,,2,2,2,28.9,+0.06,,25,-0.3,0.791
1211,لبد,,2,1,2,28.9,-0.11,,90,2.6,0.166
1212,لبن,,2,2,2,28.8,+0.06,,47,-0.1,0.577
1213,قنع,,2,2,2,28.7,+0.06,,14,-0.2,0.643
1214,قوت,,2,2,2,28.7,+0.06,,41,-0.3,0.722
1215,حبس,,2,2,2,28.6,+0.06,,11,-0.4,0.917
1216,قطف,,2,1,2,28.6,-0.11,,69,0.6,0.24
1217,دمع,,2,1,2,28.5,-0.11,,9,-0.5,0.954
1218,قلی,,2,2,2,28.5,+0.06,,93,4.6,0.137
1219,حجز,,2,2,2,28.4,+0.06,,69,0.3,0.357
1220,قسطس,,2,1,2,28.3,-0.11,,26,-0.3,0.753
1221,قدو,,2,2,2,28.3,+0.06,,43,-0.3,0.711
1222,قرطس,,2,2,1,28.2,+0.06,,6,-0.3,0.786
1223,قحم,,2,2,2,28.2,+0.06,,90,1.6,0.177
1224,حطب,,2,2,2,28.1,+0.06,,111,6.9,0.0888
1225,حطط,,2,1,2,28.0,-0.11,,7,-0.5,1
1226,حظر,,2,2,2,28.0,+0.06,,54,0.0,0.493
1227,حفر,,2,2,2,27.9,+0.06,,79,0.6,0.314
1228,حفف,,2,2,2,27.9,+0.06,,39,-0.3,0.752
1229,فکک,,2,2,2,27.8,+0.06,,90,3.6,0.178
1230,حقب,,2,2,2,27.7,+0.06,,78,0.5,0.301
1231,حلق,,2,2,2,27.7,+0.06,,48,-0.2,0.663
1232,فردس,,2,1,2,27.6,-0.11,,23,-0.3,0.698
1233,غوص,,2,2,2,27.6,+0.06,,38,-0.1,0.577
1234,غوط,,2,1,2,27.5,-0.11,,5,-0.4,0.972
1235,غیض,,2,2,2,27.5,+0.06,,13,-0.3,0.698
1236,حنث,,2,2,2,27.4,+0.06,,56,0.2,0.424
1237,طرو,,2,1,2,27.3,-0.11,,35,-0.2,0.642
1238,طعن,,2,2,2,27.3,+0.06,,9,-0.5,0.98
1239,ضغن,,2,1,1,27.2,-0.11,,47,0.8,0.251
1240,ضمم,,2,1,2,27.2,-0.11,,20,-0.3,0.748
1241,حنجر,,2,1,2,27.1,-0.11,,40,-0.2,0.73
1242,حنن,,2,2,2,27.0,+0.06,,19,-0.3,0.79
1243,حوذ,,2,2,2,27.0,+0.06,,58,-0.1,0.57
1244,حوش,,2,1,1,26.9,-0.11,,12,-0.1,0.582
1245,حوی,,2,2,2,26.9,+0.06,,87,2.6,0.17
1246,غلف,,2,1,2,26.8,-0.11,,4,-0.5,1
1247,غلو,,2,1,2,26.7,-0.11,,5,-0.4,0.974
1248,غلی,,2,2,1,26.7,+0.06,,44,1.9,0.206
1249,خنس,,2,2,2,26.6,+0.06,,114,8.2,0.0759
1250,خور,,2,1,2,26.6,-0.11,,20,-0.3,0.868
1251,ظفر,,2,2,2,26.5,+0.06,,48,-0.2,0.632
1252,طلت,,2,1,1,26.5,-0.11,,2,-0.5,0.974
1253,طمث,,2,1,1,26.4,-0.11,,55,2.2,0.192
1254,دخن,,2,1,2,26.3,-0.11,,44,0.2,0.398
1255,غرو,,2,2,2,26.3,+0.06,,33,-0.3,0.84
1256,غطو,,2,1,2,26.2,-0.11,,50,-0.0,0.509
1257,خبل,,2,1,2,26.2,-0.11,,9,-0.4,0.972
1258,خدد,,2,2,2,26.1,+0.06,,85,1.7,0.206
1259,خدن,,2,1,2,26.0,-0.11,,5,-0.5,0.98
1260,خرب,,2,2,2,26.0,+0.06,,59,-0.1,0.558
1261,خردل,,2,1,2,25.9,-0.11,,31,-0.1,0.553
1262,عیل,,2,2,2,25.9,+0.06,,93,4.7,0.115
1263,عیی,,2,2,2,25.8,+0.06,,50,0.2,0.377
1264,غثو,,2,1,2,25.7,-0.11,,87,2.5,0.157
1265,غدر,,2,2,1,25.7,+0.06,,18,-0.1,0.561
1266,خصف,,2,1,2,25.6,-0.11,,20,-0.3,0.876
1267,خضع,,2,2,2,25.6,+0.06,,26,-0.3,0.744
1268,عزب,,2,1,2,25.5,-0.11,,34,-0.2,0.682
1269,عرر,,2,2,2,25.5,+0.06,,48,-0.1,0.587
1270,عبث,,2,2,2,25.4,+0.06,,23,-0.2,0.674
1271,عتق,,2,1,1,25.3,-0.11,,22,0.0,0.487
1272,عتل,,2,2,2,25.3,+0.06,,68,0.5,0.257
1273,عثر,,2,2,2,25.2,+0.06,,18,-0.4,0.88
1274,عجف,,2,1,1,25.2,-0.11,,12,-0.1,0.558
1275,خمص,,2,1,2,25.1,-0.11,,9,-0.4,0.952
1276,عنکب,,2,1,1,25.0,-0.11,,29,0.3,0.392
1277,عهن,,2,1,2,25.0,-0.11,,101,6.1,0.0857
1278,عوق,,2,2,2,24.9,+0.06,,71,0.5,0.343
1279,عضد,,2,2,2,24.9,+0.06,,28,-0.3,0.79
1280,عضض,,2,2,2,24.8,+0.06,,25,-0.3,0.786
1281,عضل,,2,1,2,24.8,-0.11,,4,-0.6,1
1282,عطل,,2,2,2,24.7,+0.06,,81,1.2,0.209
1283,خمد,,2,2,2,24.6,+0.06,,36,-0.1,0.564
1284,کمه,,2,1,2,24.6,-0.11,,5,-0.5,0.983
1285,کهل,,2,1,2,24.5,-0.11,,5,-0.5,0.974
1286,کهن,,2,1,2,24.5,-0.11,,69,0.8,0.251
1287,کسل,,2,1,2,24.4,-0.11,,9,-0.4,0.974
1288,ءشر,,2,1,1,24.3,-0.11,,54,1.4,0.207
1289,ءصد,,2,1,2,24.3,-0.11,,104,6.8,0.0888
1290,ءلل,,2,1,1,24.2,-0.11,,9,-0.3,0.719
1291,زلق,,2,2,2,24.2,+0.06,,68,0.2,0.404
1292,زلم,,2,1,1,24.1,-0.11,,5,-0.3,0.748
1293,زمر,,2,1,1,24.0,-0.11,,39,0.1,0.487
1294,ءثث,,2,1,2,24.0,-0.11,,19,-0.3,0.733
1295,ینع,,1,1,1,23.9,-0.00,,6,-0.3,0.884
1296,ءثل,,1,1,1,23.9,-0.00,,34,-0.0,0.52
1297,ءبق,,1,1,1,23.8,-0.00,,37,-0.1,0.556
1298,زهد,,1,1,1,23.8,-0.00,,12,-0.2,0.786
1299,زنم,,1,1,1,23.7,-0.00,,68,0.5,0.277
1300,زنجبل,,1,1,1,23.6,-0.00,,76,0.5,0.27
1301,زمهر,,1,1,1,23.6,-0.00,,76,0.7,0.255
1302,زمل,,1,1,1,23.5,-0.00,,73,0.8,0.225
1303,وکد,,1,1,1,23.5,-0.00,,16,-0.3,0.786
1304,وکز,,1,1,1,23.4,-0.00,,28,-0.2,0.734
1305,ءمت,,1,1,1,23.3,-0.00,,20,-0.2,0.705
1306,ریش,,1,1,1,23.3,-0.00,,7,-0.3,0.912
1307,سحل,,1,1,1,23.2,-0.00,,20,-0.2,0.7
1308,سدی,,1,1,1,23.2,-0.00,,75,1.8,0.188
1309,سرد,,1,1,1,23.1,-0.00,,34,-0.1,0.52
1310,سردق,,1,1,1,23.0,-0.00,,18,-0.3,0.748
1311,سجو,,1,1,1,23.0,-0.00,,93,8.1,0.0888
1312,زهر,,1,1,1,22.9,-0.00,,20,-0.2,0.729
1313,ریع,,1,1,1,22.9,-0.00,,26,-0.2,0.675
1314,رین,,1,1,1,22.8,-0.00,,83,0.9,0.197
1315,زبن,,1,1,1,22.8,-0.00,,96,3.7,0.115
1316,ءنم,,1,1,1,22.7,-0.00,,55,0.2,0.375
1317,وفد,,1,1,1,22.6,-0.00,,19,-0.2,0.632
1318,وفر,,1,1,1,22.6,-0.00,,17,-0.2,0.745
1319,غدق,,1,1,1,22.5,-0.00,,72,0.8,0.263
1320,خشب,,1,1,1,22.5,-0.00,,63,1.0,0.211
1321,خضد,,1,1,1,22.4,-0.00,,56,0.5,0.337
1322,عزو,,1,1,1,22.3,-0.00,,70,0.8,0.226
1323,عسعس,,1,1,1,22.3,-0.00,,81,2.2,0.151
1324,عسل,,1,1,1,22.2,-0.00,,47,0.2,0.385
1325,عدس,,1,1,1,22.2,-0.00,,2,-0.4,1
1326,عرم,,1,1,1,22.1,-0.00,,34,-0.1,0.52
1327,عبء,,1,1,1,22.0,-0.00,,25,-0.1,0.564
1328,عبقر,,1,1,1,22.0,-0.00,,55,0.3,0.363
1329,خمط,,1,1,1,21.9,-0.00,,34,-0.1,0.52
1330,عنی,,1,1,1,21.9,-0.00,,20,-0.2,0.712
1331,عول,,1,1,1,21.8,-0.00,,4,-0.4,0.972
1332,عمق,,1,1,1,21.8,-0.00,,22,-0.2,0.663
1333,عضو,,1,1,1,21.7,-0.00,,15,0.0,0.447
1334,عطف,,1,1,1,21.6,-0.00,,22,-0.2,0.672
1335,حیز,,1,1,1,21.6,-0.00,,8,-0.2,0.654
1336,حیف,,1,1,1,21.5,-0.00,,24,-0.2,0.697
1337,خبء,,1,1,1,21.5,-0.00,,27,-0.1,0.617
1338,خبر2,,1,1,1,21.4,-0.00,,11,-0.2,0.797
1339,خبز,,1,1,1,21.3,-0.00,,12,-0.3,0.786
1340,غزل,,1,1,1,21.3,-0.00,,16,-0.4,0.799
1341,غزو,,1,1,1,21.2,-0.00,,3,-0.3,0.939
1342,غصب,,1,1,1,21.2,-0.00,,18,-0.2,0.748
1343,غصص,,1,1,1,21.1,-0.00,,73,0.8,0.207
1344,غطش,,1,1,1,21.0,-0.00,,79,0.9,0.192
1345,خبط,,1,1,1,21.0,-0.00,,2,-0.3,1
1346,خبو,,1,1,1,20.9,-0.00,,17,-0.2,0.741
1347,ختر,,1,1,1,20.9,-0.00,,31,0.1,0.418
1348,خرطم,,1,1,1,20.8,-0.00,,68,0.4,0.253
1349,عیب,,1,1,1,20.8,-0.00,,18,-0.2,0.748
1350,غبن,,1,1,1,20.7,-0.00,,64,1.0,0.228
1351,حوب,,1,1,1,20.6,-0.00,,4,-0.4,0.972
1352,غلق,,1,1,1,20.6,-0.00,,12,-0.3,0.769
1353,غمز,,1,1,1,20.5,-0.00,,83,1.9,0.192
1354,غمض,,1,1,1,20.5,-0.00,,2,-0.3,1
1355,حید,,1,1,1,20.4,-0.00,,50,0.5,0.368
1356,حیر,,1,1,1,20.3,-0.00,,6,-0.4,0.856
1357,خنق,,1,1,1,20.3,-0.00,,5,-0.3,0.854
1358,ظعن,,1,1,1,20.2,-0.00,,16,-0.2,0.785
1359,طفف,,1,1,1,20.2,-0.00,,83,1.0,0.192
1360,طلح,,1,1,1,20.1,-0.00,,56,0.3,0.34
1361,طلل,,1,1,1,20.0,-0.00,,2,-0.4,1
1362,طمم,,1,1,1,20.0,-0.00,,79,1.1,0.207
1363,طود,,1,1,1,19.9,-0.00,,26,-0.2,0.672
1364,خیم,,1,1,1,19.9,-0.00,,55,0.3,0.38
1365,دثر,,1,1,1,19.8,-0.00,,74,0.7,0.219
1366,دحو,,1,1,1,19.8,-0.00,,79,1.0,0.197
1367,فتء,,1,1,1,19.7,-0.00,,12,-0.3,0.786
1368,فتق,,1,1,1,19.6,-0.00,,21,-0.2,0.609
1369,ضیز,,1,1,1,19.6,-0.00,,53,0.3,0.309
1370,طحو,,1,1,1,19.5,-0.00,,91,4.3,0.134
1371,طرح,,1,1,1,19.5,-0.00,,12,-0.3,0.791
1372,ضدد,,1,1,1,19.4,-0.00,,19,-0.1,0.584
1373,ضفدع,,1,1,1,19.3,-0.00,,7,-0.4,0.91
1374,ضمر,,1,1,1,19.3,-0.00,,22,-0.2,0.663
1375,ضنن,,1,1,1,19.2,-0.00,,81,2.1,0.151
1376,ضنک,,1,1,1,19.2,-0.00,,20,-0.2,0.708
1377,ضهء,,1,1,1,19.1,-0.00,,9,-0.3,0.834
1378,ضیر,,1,1,1,19.0,-0.00,,26,-0.2,0.675
1379,درهم,,1,1,1,19.0,-0.00,,12,-0.3,0.791
1380,دسر,,1,1,1,18.9,-0.00,,54,0.3,0.352
1381,حنذ,,1,1,1,18.9,-0.00,,11,-0.3,0.805
1382,حنک,,1,1,1,18.8,-0.00,,17,-0.3,0.733
1383,فوم,,1,1,1,18.8,-0.00,,2,-0.4,1
1384,فصم,,1,1,1,18.7,-0.00,,2,-0.3,1
1385,فضح,,1,1,1,18.6,-0.00,,15,0.1,0.435
1386,فضو,,1,1,1,18.6,-0.00,,4,-0.4,0.972
1387,فظظ,,1,1,1,18.5,-0.00,,3,-0.4,0.933
1388,فقع,,1,1,1,18.5,-0.00,,2,-0.4,1
1389,فلن,,1,1,1,18.4,-0.00,,25,-0.1,0.577
1390,حقف,,1,1,1,18.3,-0.00,,46,0.0,0.435
1391,حلقم,,1,1,1,18.3,-0.00,,56,0.3,0.375
1392,فرع,,1,1,1,18.2,-0.00,,14,-0.1,0.558
1393,فره,,1,1,1,18.2,-0.00,,26,-0.3,0.699
1394,فسر,,1,1,1,18.1,-0.00,,25,-0.1,0.57
1395,فصح,,1,1,1,18.0,-0.00,,28,-0.2,0.741
1396,فجو,,1,1,1,18.0,-0.00,,18,-0.2,0.743
1397,فرث,,1,1,1,17.9,-0.00,,16,-0.3,0.787
1398,غول,,1,1,1,17.9,-0.00,,37,-0.1,0.534
1399,حری,,1,1,1,17.8,-0.00,,72,0.7,0.266
1400,حسم,,1,1,1,17.8,-0.00,,69,0.5,0.257
1401,حصحص,,1,1,1,17.7,-0.00,,12,-0.3,0.786
1402,قرش,,1,1,1,17.6,-0.00,26,106,11.2,0.04
1403,قسس,,1,1,1,17.6,-0.00,,5,-0.3,0.862
1404,فیل,,1,1,1,17.5,-0.00,24,105,12.2,0.04
1405,قبح,,1,1,1,17.5,-0.00,,28,-0.2,0.728
1406,قثء,,1,1,1,17.4,-0.00,,2,-0.4,1
1407,قدح,,1,1,1,17.3,-0.00,,100,6.0,0.0888
1408,حصل,,1,1,1,17.3,-0.00,,100,7.2,0.0888
1409,حفد,,1,1,1,17.2,-0.00,,16,-0.2,0.8
1410,فند,,1,1,1,17.2,-0.00,,12,-0.2,0.769
1411,فنن,,1,1,1,17.1,-0.00,,55,0.1,0.373
1412,فنی,,1,1,1,17.0,-0.00,,55,0.4,0.363
1413,فهم,,1,1,1,17.0,-0.00,,21,-0.2,0.617
1414,فوض,,1,1,1,16.9,-0.00,,40,-0.2,0.647
1415,صیف,summer,1,1,1,16.9,-0.00,20,106,12.8,0.0243
1416,ضءن,,1,1,1,16.8,-0.00,,6,-0.3,0.856
1417,ضبح,,1,1,1,16.8,-0.00,,100,4.9,0.121
1418,دمغ,,1,1,1,16.7,-0.00,,21,-0.2,0.618
1419,دنر,,1,1,1,16.6,-0.00,,3,-0.4,0.95
1420,حدب,,1,1,1,16.6,-0.00,,21,-0.2,0.611
1421,حرد,,1,1,1,16.5,-0.00,,68,0.5,0.257
1422,حرس,,1,1,1,16.5,-0.00,,72,0.5,0.25
1423,قسور,,1,1,1,16.4,-0.00,,74,0.6,0.257
1424,قشعر,,1,1,1,16.3,-0.00,,39,-0.2,0.634
1425,قصف,,1,1,1,16.3,-0.00,,17,-0.2,0.743
1426,قصم,,1,1,1,16.2,-0.00,,21,-0.2,0.593
1427,قصی,,1,1,1,16.2,-0.00,,19,-0.1,0.611
1428,قضب,,1,1,1,16.1,-0.00,,80,2.1,0.153
1429,قضض,,1,1,1,16.0,-0.00,,18,-0.2,0.768
1430,حرک,,1,1,1,16.0,-0.00,,75,1.6,0.127
1431,قطط,,1,1,1,15.9,-0.00,,38,0.0,0.463
1432,قطمر,,1,1,1,15.9,-0.00,,35,-0.0,0.474
1433,قطن,,1,1,1,15.8,-0.00,,37,-0.1,0.561
1434,قعر,,1,1,1,15.8,-0.00,,54,0.3,0.363
1435,قفل,,1,1,1,15.7,-0.00,,47,0.1,0.399
1436,قلع,,1,1,1,15.6,-0.00,,11,-0.3,0.808
1437,دسس,,1,1,1,15.6,-0.00,,16,-0.2,0.79
1438,دسو,,1,1,1,15.5,-0.00,,91,3.6,0.121
1439,دفء,,1,1,1,15.5,-0.00,,16,-0.3,0.786
1440,دفق,,1,1,1,15.4,-0.00,,86,3.8,0.137
1441,دلک,,1,1,1,15.3,-0.00,,17,-0.2,0.728
1442,دمدم,,1,1,1,15.3,-0.00,,91,4.8,0.0888
1443,صوع,,1,1,1,15.2,-0.00,,12,-0.2,0.786
1444,صوف,,1,1,1,15.2,-0.00,,16,-0.2,0.797
1445,صکک,,1,1,1,15.1,-0.00,,51,0.3,0.339
1446,صیص,,1,1,1,15.0,-0.00,,33,-0.2,0.694
1447,ذعن,,1,1,1,15.0,-0.00,,24,-0.2,0.694
1448,لحف,,1,1,1,14.9,-0.00,,2,-0.5,1
1449,قمح,,1,1,1,14.9,-0.00,,36,0.0,0.46
1450,قمطر,,1,1,1,14.8,-0.00,,76,0.5,0.279
1451,قمع,,1,1,1,14.8,-0.00,,22,-0.2,0.663
1452,قمل,,1,1,1,14.7,-0.00,,7,-0.4,0.916
1453,قنو,,1,1,1,14.6,-0.00,,6,-0.4,0.868
1454,قنی,,1,1,1,14.6,-0.00,,53,0.3,0.309
1455,قوب,,1,1,1,14.5,-0.00,,53,0.5,0.312
1456,قوس,,1,1,1,14.5,-0.00,,53,0.3,0.339
1457,جوس,,1,1,1,14.4,-0.00,,17,-0.2,0.743
1458,جوف,,1,1,1,14.3,-0.00,,33,-0.2,0.713
1459,جوو,,1,1,1,14.3,-0.00,,16,-0.2,0.798
1460,حبک,,1,1,1,14.2,-0.00,,51,0.3,0.343
1461,حتم,,1,1,1,14.2,-0.00,,19,-0.1,0.598
1462,حثث,,1,1,1,14.1,-0.00,,7,-0.3,0.911
1463,جمح,,1,1,1,14.1,-0.00,,9,-0.3,0.823
1464,جمد,,1,1,1,14.0,-0.00,,27,-0.1,0.595
1465,لحن,,1,1,1,13.9,-0.00,,47,0.1,0.424
1466,لحی,,1,1,1,13.9,-0.00,,20,-0.2,0.698
1467,لزب,,1,1,1,13.8,-0.00,,37,-0.1,0.538
1468,جمم,,1,1,1,13.8,-0.00,,89,1.3,0.192
1469,دهق,,1,1,1,13.7,-0.00,,78,0.8,0.207
1470,دهم,,1,1,1,13.6,-0.00,,55,0.3,0.364
1471,دهی,,1,1,1,13.6,-0.00,,54,0.3,0.365
1472,صلد,,1,1,1,13.5,-0.00,,2,-0.3,1
1473,صمت,,1,1,1,13.5,-0.00,,7,-0.3,0.905
1474,صمد,Eternal(Samad),1,1,1,13.4,-0.00,10,112,17.8,0.0243
1475,صمع,,1,1,1,13.3,-0.00,,22,-0.2,0.669
1476,ذءم,,1,1,1,13.3,-0.00,,7,-0.4,0.912
1477,ذبذب,,1,1,1,13.2,-0.00,,4,-0.5,0.974
1478,ذخر,,1,1,1,13.2,-0.00,,3,-0.3,0.952
1479,لقب,,1,1,1,13.1,-0.00,,49,0.5,0.34
1480,لقح,,1,1,1,13.1,-0.00,,15,0.1,0.454
1481,جسس,,1,1,1,13.0,-0.00,,49,0.2,0.355
1482,صرع,,1,1,1,12.9,-0.00,,69,0.6,0.25
1483,صعر,,1,1,1,12.9,-0.00,,31,0.2,0.418
1484,صفصف,,1,1,1,12.8,-0.00,,20,-0.2,0.708
1485,صفن,,1,1,1,12.8,-0.00,,38,0.0,0.454
